h3_cell,hour,violation_count,lat,lon,location,day_of_week,baseline_count,speed_drop,ccis,status,color
8660144a7ffffff,0,2,13.0675621,77.4496724,"Mumbai Bengaluru Highway, Alur Village, Bengaluru, Karnataka. Pin-562162 (India)",2,1,10.0,2.0,green,#00CC66
8660144a7ffffff,0,2,13.0675621,77.4496724,"Mumbai Bengaluru Highway, Alur Village, Bengaluru, Karnataka. Pin-562162 (India)",3,1,10.0,2.0,green,#00CC66
8660144a7ffffff,1,7,13.0711589,77.4431048,"Mumbai Bengaluru Highway, Rajadhani Layout, Adakamaranahalli, Bengaluru, Karnataka. Pin-562162 (India)",2,6,1.67,1.17,green,#00CC66
8660144a7ffffff,1,7,13.0711589,77.4431048,"Mumbai Bengaluru Highway, Rajadhani Layout, Adakamaranahalli, Bengaluru, Karnataka. Pin-562162 (India)",6,1,10.0,7.0,critical,#FF4B4B
8660144a7ffffff,2,3,13.0655683,77.45324,"Mumbai Bengaluru Highway, Makali, Bengaluru, Karnataka. Pin-562162 (India)",4,1,10.0,3.0,green,#00CC66
8660144a7ffffff,2,3,13.0655683,77.45324,"Mumbai Bengaluru Highway, Makali, Bengaluru, Karnataka. Pin-562162 (India)",6,2,5.0,1.5,green,#00CC66
8660144a7ffffff,5,3,13.0679344,77.4489245,"Mumbai Bengaluru Highway, Alur Village, Bengaluru, Karnataka. Pin-562162 (India)",3,3,0.0,0.0,green,#00CC66
8660144a7ffffff,20,5,13.0686134,77.4479003,"Mumbai Bengaluru Highway, Rajadhani Layout, Adakamaranahalli, Bengaluru, Karnataka. Pin-562162 (India)",3,5,0.0,0.0,green,#00CC66
8660144a7ffffff,21,1,13.0690099,77.4476546,"Mumbai Bengaluru Highway, Rajadhani Layout, Adakamaranahalli, Bengaluru, Karnataka. Pin-562162 (India)",0,1,0.0,0.0,green,#00CC66
8660144a7ffffff,23,1,13.069246,77.4463296,"Mumbai Bengaluru Highway, Rajadhani Layout, Adakamaranahalli, Bengaluru, Karnataka. Pin-562162 (India)",3,1,0.0,0.0,green,#00CC66
8660144b7ffffff,2,1,13.0658408,77.4535494,"Mumbai Bengaluru Highway, Makali, Bengaluru, Karnataka. Pin-562162 (India)",6,1,0.0,0.0,green,#00CC66
8660144b7ffffff,5,1,13.0670765,77.4518708,"Huskur Main Road, Makali, Bengaluru, Karnataka. Pin-562162 (India)",3,1,0.0,0.0,green,#00CC66
8660144b7ffffff,7,1,13.066915,77.4517433,"Huskur Main Road, Makali, Bengaluru, Karnataka. Pin-562162 (India)",3,1,0.0,0.0,green,#00CC66
8660144b7ffffff,21,1,13.0697662,77.4472311,"Mumbai Bengaluru Highway, Rajadhani Layout, Adakamaranahalli, Bengaluru, Karnataka. Pin-562162 (India)",3,1,0.0,0.0,green,#00CC66
8660144b7ffffff,22,2,13.0674528,77.4509162,"Mumbai Bengaluru Highway, Alur Village, Bengaluru, Karnataka. Pin-562162 (India)",0,1,10.0,2.0,green,#00CC66
8660144b7ffffff,22,2,13.0674528,77.4509162,"Mumbai Bengaluru Highway, Alur Village, Bengaluru, Karnataka. Pin-562162 (India)",3,1,10.0,2.0,green,#00CC66
8660144b7ffffff,23,19,13.085093,77.4864133,"Maruti Mandir Road, MSPP Layout, Soladevanahalli, Bengaluru, Karnataka. Pin-560107 (India)",1,19,0.0,0.0,green,#00CC66
866014517ffffff,0,34,12.90812587,77.53298187000001,"4th Main Road, AGS Layout, Subramanyapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560061, India",0,1,10.0,34.0,critical,#FF4B4B
866014517ffffff,0,34,12.90812587,77.53298187000001,"4th Main Road, AGS Layout, Subramanyapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560061, India",1,2,10.0,34.0,critical,#FF4B4B
866014517ffffff,0,34,12.90812587,77.53298187000001,"4th Main Road, AGS Layout, Subramanyapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560061, India",2,7,10.0,34.0,critical,#FF4B4B
866014517ffffff,0,34,12.90812587,77.53298187000001,"4th Main Road, AGS Layout, Subramanyapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560061, India",3,8,10.0,34.0,critical,#FF4B4B
866014517ffffff,0,34,12.90812587,77.53298187000001,"4th Main Road, AGS Layout, Subramanyapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560061, India",4,7,10.0,34.0,critical,#FF4B4B
866014517ffffff,0,34,12.90812587,77.53298187000001,"4th Main Road, AGS Layout, Subramanyapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560061, India",5,3,10.0,34.0,critical,#FF4B4B
866014517ffffff,0,34,12.90812587,77.53298187000001,"4th Main Road, AGS Layout, Subramanyapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560061, India",6,6,10.0,34.0,critical,#FF4B4B
866014517ffffff,1,39,12.9128301,77.5137208,"2nd Cross Road, Janakshi Layout, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",0,2,10.0,39.0,critical,#FF4B4B
866014517ffffff,1,39,12.9128301,77.5137208,"2nd Cross Road, Janakshi Layout, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",1,3,10.0,39.0,critical,#FF4B4B
866014517ffffff,1,39,12.9128301,77.5137208,"2nd Cross Road, Janakshi Layout, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",2,9,10.0,39.0,critical,#FF4B4B
866014517ffffff,1,39,12.9128301,77.5137208,"2nd Cross Road, Janakshi Layout, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",3,5,10.0,39.0,critical,#FF4B4B
866014517ffffff,1,39,12.9128301,77.5137208,"2nd Cross Road, Janakshi Layout, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",4,7,10.0,39.0,critical,#FF4B4B
866014517ffffff,1,39,12.9128301,77.5137208,"2nd Cross Road, Janakshi Layout, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",5,4,10.0,39.0,critical,#FF4B4B
866014517ffffff,1,39,12.9128301,77.5137208,"2nd Cross Road, Janakshi Layout, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",6,9,10.0,39.0,critical,#FF4B4B
866014517ffffff,2,8,12.906570907199107,77.53305710935435,"Dr Vishnuvardhan Main Road, Kodipur, Bengaluru, Karnataka. Pin-560061 (India)",0,1,10.0,8.0,critical,#FF4B4B
866014517ffffff,2,8,12.906570907199107,77.53305710935435,"Dr Vishnuvardhan Main Road, Kodipur, Bengaluru, Karnataka. Pin-560061 (India)",1,1,10.0,8.0,critical,#FF4B4B
866014517ffffff,2,8,12.906570907199107,77.53305710935435,"Dr Vishnuvardhan Main Road, Kodipur, Bengaluru, Karnataka. Pin-560061 (India)",4,2,10.0,8.0,critical,#FF4B4B
866014517ffffff,2,8,12.906570907199107,77.53305710935435,"Dr Vishnuvardhan Main Road, Kodipur, Bengaluru, Karnataka. Pin-560061 (India)",6,4,10.0,8.0,critical,#FF4B4B
866014517ffffff,3,5,12.8743123,77.5408982,"Konanakunte Main Road, Hosahalli South Taluka, Bengaluru, Karnataka. Pin-560109 (India)",0,4,2.5,1.25,green,#00CC66
866014517ffffff,3,5,12.8743123,77.5408982,"Konanakunte Main Road, Hosahalli South Taluka, Bengaluru, Karnataka. Pin-560109 (India)",4,1,10.0,5.0,monitor,#FFA500
866014517ffffff,4,7,12.8697074,77.5371728,"Konanakunte Main Road, Paramount Gardens, Jyotipuram, Thalaghattapura, Bengaluru, Karnataka. Pin-560109 (India)",5,1,10.0,7.0,critical,#FF4B4B
866014517ffffff,4,7,12.8697074,77.5371728,"Konanakunte Main Road, Paramount Gardens, Jyotipuram, Thalaghattapura, Bengaluru, Karnataka. Pin-560109 (India)",6,6,1.67,1.17,green,#00CC66
866014517ffffff,5,58,12.9058444,77.5427697,"Subramanyapura Main Road, Uttarahalli Circle, Uttarahalli, Bengaluru, Karnataka. Pin-560061 (India)",0,2,10.0,58.0,critical,#FF4B4B
866014517ffffff,5,58,12.9058444,77.5427697,"Subramanyapura Main Road, Uttarahalli Circle, Uttarahalli, Bengaluru, Karnataka. Pin-560061 (India)",1,12,10.0,58.0,critical,#FF4B4B
866014517ffffff,5,58,12.9058444,77.5427697,"Subramanyapura Main Road, Uttarahalli Circle, Uttarahalli, Bengaluru, Karnataka. Pin-560061 (India)",2,7,10.0,58.0,critical,#FF4B4B
866014517ffffff,5,58,12.9058444,77.5427697,"Subramanyapura Main Road, Uttarahalli Circle, Uttarahalli, Bengaluru, Karnataka. Pin-560061 (India)",3,4,10.0,58.0,critical,#FF4B4B
866014517ffffff,5,58,12.9058444,77.5427697,"Subramanyapura Main Road, Uttarahalli Circle, Uttarahalli, Bengaluru, Karnataka. Pin-560061 (India)",4,1,10.0,58.0,critical,#FF4B4B
866014517ffffff,5,58,12.9058444,77.5427697,"Subramanyapura Main Road, Uttarahalli Circle, Uttarahalli, Bengaluru, Karnataka. Pin-560061 (India)",5,4,10.0,58.0,critical,#FF4B4B
866014517ffffff,5,58,12.9058444,77.5427697,"Subramanyapura Main Road, Uttarahalli Circle, Uttarahalli, Bengaluru, Karnataka. Pin-560061 (India)",6,28,10.0,58.0,critical,#FF4B4B
866014517ffffff,6,57,12.9084427,77.5382042,"Dr. Vishnuvardhan Road, Subramanyapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560061, India",0,1,10.0,57.0,critical,#FF4B4B
866014517ffffff,6,57,12.9084427,77.5382042,"Dr. Vishnuvardhan Road, Subramanyapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560061, India",1,9,10.0,57.0,critical,#FF4B4B
866014517ffffff,6,57,12.9084427,77.5382042,"Dr. Vishnuvardhan Road, Subramanyapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560061, India",2,11,10.0,57.0,critical,#FF4B4B
866014517ffffff,6,57,12.9084427,77.5382042,"Dr. Vishnuvardhan Road, Subramanyapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560061, India",3,8,10.0,57.0,critical,#FF4B4B
866014517ffffff,6,57,12.9084427,77.5382042,"Dr. Vishnuvardhan Road, Subramanyapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560061, India",4,10,10.0,57.0,critical,#FF4B4B
866014517ffffff,6,57,12.9084427,77.5382042,"Dr. Vishnuvardhan Road, Subramanyapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560061, India",5,5,10.0,57.0,critical,#FF4B4B
866014517ffffff,6,57,12.9084427,77.5382042,"Dr. Vishnuvardhan Road, Subramanyapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560061, India",6,13,10.0,57.0,critical,#FF4B4B
866014517ffffff,7,45,12.8716459,77.5389692,"Kanakapura Road, Thalaghattapura, Talagattapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560109, India",1,5,10.0,45.0,critical,#FF4B4B
866014517ffffff,7,45,12.8716459,77.5389692,"Kanakapura Road, Thalaghattapura, Talagattapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560109, India",2,7,10.0,45.0,critical,#FF4B4B
866014517ffffff,7,45,12.8716459,77.5389692,"Kanakapura Road, Thalaghattapura, Talagattapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560109, India",3,12,10.0,45.0,critical,#FF4B4B
866014517ffffff,7,45,12.8716459,77.5389692,"Kanakapura Road, Thalaghattapura, Talagattapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560109, India",4,8,10.0,45.0,critical,#FF4B4B
866014517ffffff,7,45,12.8716459,77.5389692,"Kanakapura Road, Thalaghattapura, Talagattapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560109, India",5,7,10.0,45.0,critical,#FF4B4B
866014517ffffff,7,45,12.8716459,77.5389692,"Kanakapura Road, Thalaghattapura, Talagattapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560109, India",6,6,10.0,45.0,critical,#FF4B4B
866014517ffffff,8,15,12.9161165,77.5205401,"Model Road, Krishnappa Block, BEML Layout Stage 3, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",0,2,10.0,15.0,critical,#FF4B4B
866014517ffffff,8,15,12.9161165,77.5205401,"Model Road, Krishnappa Block, BEML Layout Stage 3, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",1,3,10.0,15.0,critical,#FF4B4B
866014517ffffff,8,15,12.9161165,77.5205401,"Model Road, Krishnappa Block, BEML Layout Stage 3, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",2,2,10.0,15.0,critical,#FF4B4B
866014517ffffff,8,15,12.9161165,77.5205401,"Model Road, Krishnappa Block, BEML Layout Stage 3, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",4,5,10.0,15.0,critical,#FF4B4B
866014517ffffff,8,15,12.9161165,77.5205401,"Model Road, Krishnappa Block, BEML Layout Stage 3, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",5,2,10.0,15.0,critical,#FF4B4B
866014517ffffff,8,15,12.9161165,77.5205401,"Model Road, Krishnappa Block, BEML Layout Stage 3, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",6,1,10.0,15.0,critical,#FF4B4B
866014517ffffff,9,1,12.8762617,77.5292786,"Vajarahalli Road, Prasad Layout, Ganigara Palya, Lingadheeranahalli Andhrahalli, Bengaluru, Karnataka. Pin-560109 (India)",6,1,0.0,0.0,green,#00CC66
866014517ffffff,10,3,12.8931845,77.537668,"3rd Main Road, Pride Spring Field Apartment, Subramanyapura, Bengaluru, Karnataka. Pin-560061 (India)",0,1,10.0,3.0,green,#00CC66
866014517ffffff,10,3,12.8931845,77.537668,"3rd Main Road, Pride Spring Field Apartment, Subramanyapura, Bengaluru, Karnataka. Pin-560061 (India)",2,1,10.0,3.0,green,#00CC66
866014517ffffff,10,3,12.8931845,77.537668,"3rd Main Road, Pride Spring Field Apartment, Subramanyapura, Bengaluru, Karnataka. Pin-560061 (India)",6,1,10.0,3.0,green,#00CC66
866014517ffffff,20,4,12.8688824,77.5365608,"Konanakunte Main Road, Thalaghattapura, Bengaluru, Karnataka. Pin-560109 (India)",2,3,3.33,1.33,green,#00CC66
866014517ffffff,20,4,12.8688824,77.5365608,"Konanakunte Main Road, Thalaghattapura, Bengaluru, Karnataka. Pin-560109 (India)",3,1,10.0,4.0,monitor,#FFA500
866014517ffffff,21,9,12.8685827,77.5362548,"Konanakunte Main Road, Thalaghattapura, Bengaluru, Karnataka. Pin-560109 (India)",1,1,10.0,9.0,critical,#FF4B4B
866014517ffffff,21,9,12.8685827,77.5362548,"Konanakunte Main Road, Thalaghattapura, Bengaluru, Karnataka. Pin-560109 (India)",2,3,10.0,9.0,critical,#FF4B4B
866014517ffffff,21,9,12.8685827,77.5362548,"Konanakunte Main Road, Thalaghattapura, Bengaluru, Karnataka. Pin-560109 (India)",4,2,10.0,9.0,critical,#FF4B4B
866014517ffffff,21,9,12.8685827,77.5362548,"Konanakunte Main Road, Thalaghattapura, Bengaluru, Karnataka. Pin-560109 (India)",5,2,10.0,9.0,critical,#FF4B4B
866014517ffffff,21,9,12.8685827,77.5362548,"Konanakunte Main Road, Thalaghattapura, Bengaluru, Karnataka. Pin-560109 (India)",6,1,10.0,9.0,critical,#FF4B4B
866014517ffffff,22,12,12.9048421,77.5299793,"Dr Vishnuvardhan Main Road, Banashankari Stage 5, Bengaluru, Karnataka. Pin-560061 (India)",1,2,10.0,12.0,critical,#FF4B4B
866014517ffffff,22,12,12.9048421,77.5299793,"Dr Vishnuvardhan Main Road, Banashankari Stage 5, Bengaluru, Karnataka. Pin-560061 (India)",2,6,10.0,12.0,critical,#FF4B4B
866014517ffffff,22,12,12.9048421,77.5299793,"Dr Vishnuvardhan Main Road, Banashankari Stage 5, Bengaluru, Karnataka. Pin-560061 (India)",3,1,10.0,12.0,critical,#FF4B4B
866014517ffffff,22,12,12.9048421,77.5299793,"Dr Vishnuvardhan Main Road, Banashankari Stage 5, Bengaluru, Karnataka. Pin-560061 (India)",5,3,10.0,12.0,critical,#FF4B4B
866014517ffffff,23,46,12.9071194,77.5343921,"19th Main Road, Dr Vishuvardhan Circle, Kodipur, Bengaluru, Karnataka. Pin-560061 (India)",0,6,10.0,46.0,critical,#FF4B4B
866014517ffffff,23,46,12.9071194,77.5343921,"19th Main Road, Dr Vishuvardhan Circle, Kodipur, Bengaluru, Karnataka. Pin-560061 (India)",1,13,10.0,46.0,critical,#FF4B4B
866014517ffffff,23,46,12.9071194,77.5343921,"19th Main Road, Dr Vishuvardhan Circle, Kodipur, Bengaluru, Karnataka. Pin-560061 (India)",2,7,10.0,46.0,critical,#FF4B4B
866014517ffffff,23,46,12.9071194,77.5343921,"19th Main Road, Dr Vishuvardhan Circle, Kodipur, Bengaluru, Karnataka. Pin-560061 (India)",3,3,10.0,46.0,critical,#FF4B4B
866014517ffffff,23,46,12.9071194,77.5343921,"19th Main Road, Dr Vishuvardhan Circle, Kodipur, Bengaluru, Karnataka. Pin-560061 (India)",4,2,10.0,46.0,critical,#FF4B4B
866014517ffffff,23,46,12.9071194,77.5343921,"19th Main Road, Dr Vishuvardhan Circle, Kodipur, Bengaluru, Karnataka. Pin-560061 (India)",5,12,10.0,46.0,critical,#FF4B4B
866014517ffffff,23,46,12.9071194,77.5343921,"19th Main Road, Dr Vishuvardhan Circle, Kodipur, Bengaluru, Karnataka. Pin-560061 (India)",6,3,10.0,46.0,critical,#FF4B4B
86601451fffffff,2,2,12.8965898,77.453348,"Challagatta Main Road, Chalaghatta, Bengaluru, Karnataka. Pin-560074 (India)",2,1,10.0,2.0,green,#00CC66
86601451fffffff,2,2,12.8965898,77.453348,"Challagatta Main Road, Chalaghatta, Bengaluru, Karnataka. Pin-560074 (India)",4,1,10.0,2.0,green,#00CC66
86601451fffffff,3,1,12.8965514,77.4533519,"Challagatta Main Road, Chalaghatta, Bengaluru, Karnataka. Pin-560074 (India)",2,1,0.0,0.0,green,#00CC66
86601451fffffff,4,3,12.8963282,77.4548149,"Challagatta Main Road, Chalaghatta, Bengaluru, Karnataka. Pin-560074 (India)",1,2,5.0,1.5,green,#00CC66
