h3_cell,hour,violation_count,lat,lon,location,day_of_week,baseline_count,baseline_activity,speed_drop,ccis,status,color,cluster,centroid_lat,centroid_lon,avg_ccis,cell_count
8860145123fffff,6,9,12.9098667,77.5133867,"Sri Sri Sri Tiruchi Mahaswamiji Road, Prakruthi Aroma, BEML Layout Stage 10, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",6,2,0.0023866348448687,1.0,9.0,critical,#FF4B4B,-1,,,,
8860145125fffff,8,4,12.9161165,77.5205401,"Model Road, Krishnappa Block, BEML Layout Stage 3, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",0,1,0.0011933174224343,1.0,4.0,monitor,#FFA500,-1,,,,
8860145149fffff,5,12,12.8669895,77.5347235,"Thalaghattapura, Talagattapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560109, India",1,2,0.0023866348448687,1.0,12.0,critical,#FF4B4B,0,12.875704623076922,77.54261846324786,10.126666666666667,117.0
8860145149fffff,5,12,12.8669895,77.5347235,"Thalaghattapura, Talagattapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560109, India",2,1,0.0011933174224343,1.0,12.0,critical,#FF4B4B,0,12.875704623076922,77.54261846324786,10.126666666666667,117.0
8860145149fffff,5,12,12.8669895,77.5347235,"Thalaghattapura, Talagattapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560109, India",4,1,0.0011933174224343,1.0,12.0,critical,#FF4B4B,0,12.875704623076922,77.54261846324786,10.126666666666667,117.0
8860145149fffff,5,12,12.8669895,77.5347235,"Thalaghattapura, Talagattapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560109, India",5,2,0.0023866348448687,1.0,12.0,critical,#FF4B4B,0,12.875704623076922,77.54261846324786,10.126666666666667,117.0
8860145149fffff,5,12,12.8669895,77.5347235,"Thalaghattapura, Talagattapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560109, India",6,6,0.0071599045346062,1.0,12.0,critical,#FF4B4B,0,12.875704623076922,77.54261846324786,10.126666666666667,117.0
8860145149fffff,6,9,12.8690198,77.5366362,"Konanakunte Main Road, Thalaghattapura, Bengaluru, Karnataka. Pin-560109 (India)",1,1,0.0011933174224343,1.0,9.0,critical,#FF4B4B,0,12.875704623076922,77.54261846324786,10.126666666666667,117.0
8860145149fffff,6,9,12.8690198,77.5366362,"Konanakunte Main Road, Thalaghattapura, Bengaluru, Karnataka. Pin-560109 (India)",2,3,0.0035799522673031,1.0,9.0,critical,#FF4B4B,0,12.875704623076922,77.54261846324786,10.126666666666667,117.0
8860145149fffff,6,9,12.8690198,77.5366362,"Konanakunte Main Road, Thalaghattapura, Bengaluru, Karnataka. Pin-560109 (India)",4,2,0.0023866348448687,1.0,9.0,critical,#FF4B4B,0,12.875704623076922,77.54261846324786,10.126666666666667,117.0
8860145149fffff,6,9,12.8690198,77.5366362,"Konanakunte Main Road, Thalaghattapura, Bengaluru, Karnataka. Pin-560109 (India)",5,1,0.0011933174224343,1.0,9.0,critical,#FF4B4B,0,12.875704623076922,77.54261846324786,10.126666666666667,117.0
8860145149fffff,6,9,12.8690198,77.5366362,"Konanakunte Main Road, Thalaghattapura, Bengaluru, Karnataka. Pin-560109 (India)",6,2,0.0023866348448687,1.0,9.0,critical,#FF4B4B,0,12.875704623076922,77.54261846324786,10.126666666666667,117.0
